cgmDatenum_ 1,cgmDatenum_ 2,cgmDatenum_ 3,cgmDatenum_ 4,cgmDatenum_ 5,cgmDatenum_ 6,cgmDatenum_ 7,cgmDatenum_ 8,cgmDatenum_ 9,cgmDatenum_10,cgmDatenum_11,cgmDatenum_12,cgmDatenum_13,cgmDatenum_14,cgmDatenum_15,cgmDatenum_16,cgmDatenum_17,cgmDatenum_18,cgmDatenum_19,cgmDatenum_20,cgmDatenum_21,cgmDatenum_22,cgmDatenum_23,cgmDatenum_24,cgmDatenum_25,cgmDatenum_26,cgmDatenum_27,cgmDatenum_28,cgmDatenum_29,cgmDatenum_30,cgmDatenum_31
737097.5816,737097.5781,737097.5746,737097.5712,737097.5677,737097.5642,737097.5608,737097.5573,737097.5538,737097.5503,737097.5469,737097.5434,737097.5399,737097.5364,737097.533,737097.5295,737097.526,737097.5226,737097.5191,737097.5156,737097.5121,737097.5087,737097.5052,737097.5017,737097.4983,737097.4948,737097.4913,737097.4878,737097.4844,737097.4809,
737058.5894,737058.586,737058.5825,737058.579,737058.5756,737058.5721,737058.5686,737058.5651,737058.5617,737058.5582,737058.5547,737058.5513,737058.5478,737058.5443,737058.5408,737058.5374,737058.5339,737058.5304,737058.5269,737058.5235,737058.52,737058.5165,737058.5131,737058.5096,737058.5061,737058.5026,737058.4992,737058.4957,737058.4922,737058.4888,
737056.5943,737056.5909,737056.5874,737056.5839,737056.5804,737056.577,737056.5735,737056.57,737056.5666,737056.5631,737056.5596,737056.5561,737056.5527,737056.5492,737056.5457,737056.5422,737056.5388,737056.5353,737056.5318,737056.5284,737056.5249,737056.5214,737056.5179,737056.5145,737056.511,737056.5075,737056.5041,737056.5006,737056.4971,737056.4936,737056.4902
737055.6082,737055.6047,737055.6012,737055.5977,737055.5943,737055.5908,737055.5873,737055.5839,737055.5804,737055.5769,737055.5734,737055.57,737055.5665,737055.563,737055.5595,737055.5561,737055.5526,737055.5491,737055.5457,737055.5422,737055.5387,737055.5352,737055.5318,737055.5283,737055.5248,737055.5214,737055.5179,737055.5144,737055.5109,737055.5075,
737053.7083,737053.7048,737053.7014,737053.6979,737053.6944,737053.6909,737053.6875,737053.684,737053.6805,737053.677,737053.6736,737053.6701,737053.6666,737053.6632,737053.6597,737053.6562,737053.6527,737053.6493,737053.6458,737053.6423,737053.6389,737053.6354,737053.6319,737053.6284,737053.625,737053.6215,737053.618,737053.6145,737053.6111,737053.6076,
737052.6179,737052.6145,737052.611,737052.6075,737052.6041,737052.6006,737052.5971,737052.5936,737052.5902,737052.5867,737052.5832,737052.5797,737052.5763,737052.5728,737052.5693,737052.5659,737052.5624,737052.5589,737052.5554,737052.552,737052.5485,737052.545,737052.5416,737052.5381,737052.5346,737052.5311,737052.5277,737052.5242,737052.5207,737052.5172,
737048.5899,737048.5864,737048.583,737048.5795,737048.576,737048.5726,737048.5691,737048.5656,737048.5621,737048.5587,737048.5552,737048.5517,737048.5483,737048.5448,737048.5413,737048.5378,737048.5344,737048.5309,737048.5274,737048.5239,737048.5205,737048.517,737048.5135,737048.5101,737048.5066,737048.5031,737048.4996,737048.4962,737048.4927,737048.4892,
737047.5834,737047.5799,737047.5764,737047.573,737047.5695,737047.566,737047.5625,737047.5591,737047.5556,737047.5521,737047.5486,737047.5452,737047.5417,737047.5382,737047.5348,737047.5313,737047.5278,737047.5243,737047.5209,737047.5174,737047.5139,737047.5104,737047.507,737047.5035,737047.5,737047.4966,737047.4931,737047.4896,737047.4861,737047.4827,737047.4792
737044.5971,737044.5936,737044.5901,737044.5867,737044.5832,737044.5797,737044.5763,737044.5728,737044.5693,737044.5658,737044.5623,737044.5589,737044.5554,737044.5519,737044.5484,737044.545,737044.5415,737044.538,737044.5346,737044.5311,737044.5276,737044.5241,737044.5207,737044.5172,737044.5137,737044.5103,737044.5068,737044.5033,737044.4998,737044.4964,
737042.5865,737042.5831,737042.5796,737042.5761,737042.5726,737042.5692,737042.5657,737042.5622,737042.5588,737042.5553,737042.5518,737042.5483,737042.5449,737042.5414,737042.5379,737042.5344,737042.531,737042.5275,737042.524,737042.5206,737042.5171,737042.5136,737042.5101,737042.5067,737042.5032,737042.4997,737042.4963,737042.4928,737042.4893,737042.4858,737042.4824
737041.6663,737041.6628,737041.6594,737041.6559,737041.6524,737041.649,737041.6455,737041.642,737041.6385,737041.6351,737041.6316,737041.6281,737041.6247,737041.6212,737041.6177,737041.6142,737041.6108,737041.6073,737041.6038,737041.6003,737041.5969,737041.5934,737041.5899,737041.5865,737041.583,737041.5795,737041.576,737041.5726,737041.5691,737041.5656,
737026.5867,737026.5833,737026.5798,737026.5763,737026.5729,737026.5694,737026.5659,737026.5624,737026.559,737026.5555,737026.552,737026.5486,737026.5451,737026.5416,737026.5381,737026.5347,737026.5312,737026.5277,737026.5242,737026.5208,737026.5173,737026.5138,737026.5104,737026.5069,737026.5034,737026.4999,737026.4965,737026.493,737026.4895,737026.4861,
737021.5899,737021.5864,737021.583,737021.5795,737021.576,737021.5726,737021.5691,737021.5656,737021.5621,737021.5587,737021.5552,737021.5517,737021.5483,737021.5448,737021.5413,737021.5378,737021.5344,737021.5309,737021.5274,737021.5239,737021.5205,737021.517,737021.5135,737021.5101,737021.5066,737021.5031,737021.4996,737021.4962,737021.4927,737021.4892,737021.4858
737019.6069,737019.6035,737019.6,737019.5965,737019.5931,737019.5896,737019.5861,737019.5826,737019.5792,737019.5757,737019.5722,737019.5688,737019.5653,737019.5618,737019.5583,737019.5549,737019.5514,737019.5479,737019.5444,737019.541,737019.5375,737019.534,737019.5306,737019.5271,737019.5236,737019.5201,737019.5167,737019.5132,737019.5097,737019.5063,
737016.6102,737016.6068,737016.6033,737016.5998,737016.5964,737016.5929,737016.5894,737016.5859,737016.5825,737016.579,737016.5755,737016.572,737016.5686,737016.5651,737016.5616,737016.5582,737016.5547,737016.5512,737016.5477,737016.5443,737016.5408,737016.5373,737016.5339,737016.5304,737016.5269,737016.5234,737016.52,737016.5165,737016.513,737016.5095,
737013.5823,737013.5788,737013.5753,737013.5719,737013.5684,737013.5649,737013.5614,737013.558,737013.5545,737013.551,737013.5476,737013.5441,737013.5406,737013.5371,737013.5337,737013.5302,737013.5267,737013.5233,737013.5198,737013.5163,737013.5128,737013.5094,737013.5059,737013.5024,737013.4989,737013.4955,737013.492,737013.4885,737013.4851,737013.4816,
737010.5989,737010.5954,737010.5919,737010.5884,737010.585,737010.5815,737010.578,737010.5745,737010.5711,737010.5676,737010.5641,737010.5607,737010.5572,737010.5537,737010.5502,737010.5468,737010.5433,737010.5398,737010.5364,737010.5329,737010.5294,737010.5259,737010.5225,737010.519,737010.5155,737010.512,737010.5086,737010.5051,737010.5016,737010.4982,
737008.5779,737008.5744,737008.5709,737008.5675,737008.564,737008.5605,737008.557,737008.5536,737008.5501,737008.5466,737008.5432,737008.5397,737008.5362,737008.5327,737008.5293,737008.5258,737008.5223,737008.5189,737008.5154,737008.5119,737008.5084,737008.505,737008.5015,737008.498,737008.4945,737008.4911,737008.4876,737008.4841,737008.4807,737008.4772,
737007.5883,737007.5848,737007.5813,737007.5778,737007.5744,737007.5709,737007.5674,737007.564,737007.5605,737007.557,737007.5535,737007.5501,737007.5466,737007.5431,737007.5397,737007.5362,737007.5327,737007.5292,737007.5257,737007.5223,737007.5188,737007.5153,737007.5119,737007.5084,737007.5049,737007.5014,737007.498,737007.4945,737007.491,737007.4875,
737005.6273,737005.6239,737005.6204,737005.6169,737005.6134,737005.61,737005.6065,737005.603,737005.5996,737005.5961,737005.5926,737005.5891,737005.5857,737005.5822,737005.5787,737005.5753,737005.5718,737005.5683,737005.5648,737005.5614,737005.5579,737005.5544,737005.5509,737005.5475,737005.544,737005.5405,737005.5371,737005.5336,737005.5301,737005.5266,737005.5232
